Provinsi,Tahun,Produksi_Beras_Ton,Konsumsi_Total_Ton,harga_rata2beras_konsumen,Risk_Score_IKP,Kelompok_IKP,Kerentanan_Area,Surplus_Defisit_Ton,edr_kberas,Produksi_DagingSapi_Ton,Produksi_Jagung_Ton
Papua Pegunungan,2024,27.131676000000002,296774.1,20560.11111111111,40.21,2,Rentan,-296746.96832399996,0.999908578019443,145.81,247.07
Papua Selatan,2021,0.0,0.0,,35.48,1,Sangat Rentan,0.0,0.0,0.0,0.0
Papua Selatan,2022,0.0,0.0,,37.8,2,Rentan,0.0,0.0,0.0,0.0
Papua Selatan,2023,117558.53676599999,0.0,,42.27,2,Rentan,117558.53676599999,0.0,721.6,69.18
Papua Selatan,2024,139428.914724,64970.685000000005,15196.90322580645,40.21,2,Rentan,74458.229724,0.0,439.03,2098.29
Papua Tengah,2021,0.0,0.0,,35.48,1,Sangat Rentan,0.0,0.0,0.0,0.0
Papua Tengah,2022,0.0,0.0,,37.8,2,Rentan,0.0,0.0,0.0,0.0
Papua Tengah,2023,5936.7154439999995,0.0,,42.27,2,Rentan,5936.7154439999995,0.0,710.8,9081.61
Papua Tengah,2024,3887.537676,133371.095,18182.41935483871,40.21,2,Rentan,-129483.557324,0.9708517225865169,667.16,5036.04
Riau,2021,139217.16857399998,794074.5142857144,13488.0,66.84,5,Tahan,-654857.3457117144,0.8246799688575466,8948.7,989.61
Riau,2022,136719.31944,808846.6285714286,13615.083333333334,67.59,5,Tahan,-672127.3091314286,0.8309700323762598,9127.69,752.62
Riau,2023,131863.62651,812331.7714285713,13249.5,68.68,5,Tahan,-680468.1449185713,0.8376726958763365,10974.8,688.71
Riau,2024,142160.065542,822750.5142857142,14557.516129032258,70.42,5,Tahan,-680590.4487437143,0.8272136412270507,13457.12,1139.41
Sulawesi Barat,2021,199148.588892,279108.66285714286,10476.75,75.49,6,Sangat Tahan,-79960.07396514286,0.28648366964542804,1636.87,7966.76
Sulawesi Barat,2022,226319.21466,283343.46857142856,10702.791666666666,74.04,5,Tahan,-57024.25391142856,0.20125487345424098,1725.34,30186.61
Sulawesi Barat,2023,186591.78931800002,287714.2542857143,12363.625,73.03,5,Tahan,-101122.46496771427,0.3514683873371624,1358.5,29097.91
Sulawesi Barat,2024,204144.79291800002,292007.33714285714,13452.483870967742,71.99,5,Tahan,-87862.54422485712,0.30089156349476454,1174.18,30295.93
Sulawesi Selatan,2021,3259025.954646,2090660.6250000002,10270.791666666666,80.82,6,Sangat Tahan,1168365.329646,0.0,15366.14,1033341.18
Sulawesi Selatan,2022,3431580.1938,2110401.75,10406.5,81.38,6,Sangat Tahan,1321178.4438,0.0,16277.51,1152062.7
Sulawesi Selatan,2023,3121862.387622,2141626.125,12168.333333333334,83.36,6,Sangat Tahan,980236.2626220002,0.0,16181.3,1025516.26
Sulawesi Selatan,2024,3084758.4954779996,2164752.75,13364.935483870968,83.82,6,Sangat Tahan,920005.7454779996,0.0,13722.51,1131504.0
Sulawesi Tengah,2021,555061.575354,656939.475,11013.458333333334,75.73,6,Sangat Tahan,-101877.899646,0.15507958270584973,5926.7,63514.84
Sulawesi Tengah,2022,476570.44973999995,666548.2392857143,11209.375,75.92,6,Sangat Tahan,-189977.7895457144,0.2850173150998016,5967.2,96199.79
Sulawesi Tengah,2023,525839.415882,671048.2714285714,12843.40909090909,75.83,6,Sangat Tahan,-145208.85554657143,0.21639107308545974,5472.3,72981.58
Sulawesi Tengah,2024,487791.676878,678657.0214285714,14068.612903225807,76.87,6,Sangat Tahan,-190865.3445505714,0.2812397699043919,3848.72,84798.45
Sulawesi Tenggara,2021,339324.617016,700604.2285714286,11069.375,76.64,6,Sangat Tahan,-361279.6115554286,0.5156686140648881,4522.93,78350.27
Sulawesi Tenggara,2022,306628.9116,711801.4607142856,11152.791666666666,75.04,6,Sangat Tahan,-405172.5491142856,0.5692212948083852,4525.62,78163.06
Sulawesi Tenggara,2023,306916.52145,724263.3214285715,12746.166666666666,74.96,6,Sangat Tahan,-417346.7999785715,0.5762362770979162,5213.8,69512.45
Sulawesi Tenggara,2024,355846.258416,735882.0964285715,13604.870967741936,76.68,6,Sangat Tahan,-380035.8380125715,0.5164357712424109,5985.22,79444.29
Sulawesi Utara,2021,149092.823352,458720.6099999999,11462.375,78.3,6,Sangat Tahan,-309627.7866479999,0.6749811974831477,3103.44,166579.9
Sulawesi Utara,2022,156036.13806,462354.075,11529.5,74.3,5,Tahan,-306317.93694000004,0.662518086252403,3169.39,119008.39
Sulawesi Utara,2023,152491.421082,466178.77499999997,13266.416666666666,77.32,6,Sangat Tahan,-313687.353918,0.6728906821594356,2032.2,83046.33
Sulawesi Utara,2024,174860.988588,469707.93,14033.129032258064,76.32,6,Sangat Tahan,-294846.941412,0.6277240016194744,1840.64,112771.9
Sumatera Barat,2021,843277.445076,668866.6871428571,12520.5,79.55,6,Sangat Tahan,174410.75793314283,0.0,21375.13,437814.33
